1999-10-08,Agdenes,2,0
1999-10-09,Agdenes,5,2
1999-10-15,Agdenes,6,1
1999-10-16,Agdenes,6,1
1999-10-22,Agdenes,5,5
1999-10-24,Agdenes,0,0
1999-10-25,Agdenes,0,0
1999-11-05,Agdenes,10,0
1999-11-06,Agdenes,10,0
1999-11-13,Agdenes,7,0
1999-12-04,Agdenes,1,0
1999-12-14,Agdenes,6,0
1999-12-30,Agdenes,9,0
1999-12-31,Agdenes,9,0
2000-01-01,Agdenes,9,0
2000-01-02,Agdenes,9,0
2000-02-11,Agdenes,1,2
2000-02-18,Agdenes,8,2
2000-02-19,Agdenes,8,2
2000-02-26,Agdenes,2,0
2000-02-29,Agdenes,2,8
2000-03-01,Agdenes,2,8
2000-03-02,Agdenes,2,8
2000-03-03,Agdenes,1,1
2000-03-04,Agdenes,1,1
2000-03-10,Agdenes,6,4
2000-03-11,Agdenes,6,4
2000-03-17,Agdenes,2,2
2000-03-18,Agdenes,2,2
2000-03-22,Agdenes,2,0
2000-03-23,Agdenes,2,0
2000-03-24,Agdenes,5,0
2000-03-25,Agdenes,6,0
2000-03-26,Agdenes,1,0
2000-03-31,Agdenes,4,0
2000-04-01,Agdenes,10,0
2000-04-28,Agdenes,1,1
2000-04-29,Agdenes,4,1
2000-04-30,Agdenes,4,1
2000-05-05,Agdenes,5,0
2000-05-06,Agdenes,5,0
2000-05-13,Agdenes,8,0
2000-05-14,Agdenes,8,0
2000-05-20,Agdenes,1,1
2000-05-21,Agdenes,1,1
2000-05-27,Agdenes,6,0
2000-05-31,Agdenes,4,0
2000-06-02,Agdenes,1,1
2000-06-03,Agdenes,1,1
2000-06-08,Agdenes,2,1
2000-06-10,Agdenes,3,0
2000-06-11,Agdenes,3,0
2000-06-16,Agdenes,1,0
2000-06-23,Agdenes,5,5
2000-06-24,Agdenes,5,5
2000-06-30,Agdenes,8,2
2000-07-01,Agdenes,8,2
2000-07-02,Agdenes,2,2
2000-07-07,Agdenes,1,1
2000-07-08,Agdenes,1,1
2000-07-28,Agdenes,1,4
2000-07-29,Agdenes,1,4
2000-08-04,Agdenes,5,0
2000-08-05,Agdenes,5,0
2000-08-12,Agdenes,2,2
2000-08-13,Agdenes,2,2
2000-09-01,Agdenes,1,1
2000-09-02,Agdenes,1,1
2000-09-08,Agdenes,1,1
2000-09-09,Agdenes,1,1
2000-09-15,Agdenes,5,4
2000-09-16,Agdenes,5,4
2000-09-23,Agdenes,7,6
2000-09-24,Agdenes,7,6
2000-09-29,Agdenes,8,0
2000-09-30,Agdenes,8,0
2000-10-07,Agdenes,6,0
2000-10-13,Agdenes,5,0
2000-10-14,Agdenes,5,0
2000-10-20,Agdenes,8,0
2000-10-21,Agdenes,8,0
2000-10-27,Agdenes,2,0
2000-10-28,Agdenes,2,0
2000-11-10,Agdenes,8,0
2000-11-11,Agdenes,8,0
2000-11-18,Agdenes,3,2
2000-11-24,Agdenes,5,4
2000-11-25,Agdenes,5,4
2001-02-01,Agdenes,1,1
2001-02-02,Agdenes,7,0
2001-02-09,Agdenes,7,3
2001-02-10,Agdenes,7,3
2001-02-16,Agdenes,7,3
2001-02-17,Agdenes,7,3
2001-02-21,Agdenes,1,1
2001-02-22,Agdenes,1,1
2001-03-16,Agdenes,5,5
2001-03-17,Agdenes,5,5
2001-03-23,Agdenes,0,0
2001-03-24,Agdenes,0,0
2001-03-25,Agdenes,0,0
2001-03-31,Agdenes,2,0
